"","i","mean_dist_to_grocery","median_dist_to_grocery","max_dist_to_grocery","min_dist_to_grocery","quartiles_dist_to_grocery_25p","quartiles_dist_to_grocery_50p","quartiles_dist_to_grocery_75p","n_from_pnts","n_from_pnts_no_path"
"343",343,1474.84698202472,1476.16803553548,1950.10148958626,913.764355757756,1288.62624802771,1476.16803553548,1694.30862655455,48,0
"344",344,1717.7978904799,1745.65269951156,2287.68411428088,1202.82437539932,1499.51398971254,1745.65269951156,1931.97879361078,32,0
"345",345,525.223592422164,591.528791901614,840.617102966814,0,398.33149000183,591.528791901614,696.537641356402,30,0
"346",346,795.754187611231,834.938217523764,1190.58010667197,303.769928833549,645.946470482031,834.938217523764,958.294663574139,35,0
"347",347,424.980203876046,476.667138525498,755.70172050066,0,303.96203573973,476.667138525498,563.634793288799,27,0
"348",348,1206.12861502775,1224.23406230611,1427.40491129454,865.489550525374,1123.40886309152,1224.23406230611,1325.74907710168,24,0
"349",349,1098.12677949503,1070.81190720952,1599.8862552173,578.269284017104,911.814858500916,1070.81190720952,1309.48921569585,32,0
"350",350,369.474198393822,393.82196175432,634.344121910045,22.6376709649495,245.976293881084,393.82196175432,494.380108782737,24,0
"351",351,425.155888914287,424.000197661484,726.840782584856,170.476149204258,288.155702734078,424.000197661484,507.579487048417,18,0
"352",352,1421.71070804965,1418.81351604356,1803.56265512909,964.030534814076,1297.98977269632,1418.81351604356,1561.9846695401,64,0
"353",353,899.950482189624,933.685253584212,1286.98923873212,341.573860268131,711.146991078156,933.685253584212,1087.57514097677,40,0
"354",354,725.319081498796,796.653676428448,1296.41517218048,21.2202245012958,511.091090353643,796.653676428448,905.998912922748,48,0
"355",355,505.937277120573,457.045149818131,1383.41501150529,49.7013468084273,289.387726834865,457.045149818131,654.055178022907,32,0
"356",356,396.172380934378,391.470615792872,683.877089882799,49.2944183995639,294.859407419741,391.470615792872,520.477577469401,50,0
"357",357,971.442206456343,912.072959556629,1544.12950523276,565.118875804185,757.267238416736,912.072959556629,1154.67820125661,75,0
"358",358,930.167344169148,947.906212214828,1590.8646342773,131.926194119013,687.24193666368,947.906212214828,1213.263924096,72,0
"359",359,1385.60486248885,1419.0437617184,1731.45517971157,904.761275940796,1261.89790503539,1419.0437617184,1521.26093470821,43,0
"360",360,1007.82537086078,1207.10148046541,1942.18641244563,44.1523594233177,425.689653338037,1207.10148046541,1497.55534981421,86,0
"361",361,944.777152361588,958.30375221406,1594.19561851185,180.213529443965,741.705891653566,958.30375221406,1170.31613971345,64,0
"362",362,1744.91455927568,1799.14458534459,2135.54337072229,1287.40127786729,1598.62345582197,1799.14458534459,1899.03075702499,32,0
"363",363,1073.51939892257,1124.59488011115,1966.12197534104,45.6088475491296,643.668552868816,1124.59488011115,1464.48504194694,128,0
"364",364,1497.27447271856,1490.62371011388,1998.98070484785,904.982155102753,1295.9543485825,1490.62371011388,1725.84555736427,72,0
"365",365,980.044400043215,958.311804540295,1396.13630162676,624.845356618171,840.813458028444,958.311804540295,1123.34213251919,32,0
